"","BIO1","BIO10","BIO11","BIO12","BIO13","BIO16","BIO17","BIO18","BIO19","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","npp"
"BIO1",1,0.861814820226992,0.903010891626573,0.660495481602509,0.572326929083769,0.58319773575058,0.603978180801914,0.500832033887994,0.601659911614645,-0.338962782727024,0.756109979573859,0.887924547326998,-0.461478770489098,0.817300600152112,0.87523923297503,0.669034345047597
"BIO10",0.861814820226992,1,0.565781630491389,0.40865631540384,0.380420319279875,0.352113560455321,0.441154770482299,0.287028529474295,0.432256570238104,0.181668370745852,0.96033394523515,0.553874687356279,0.0372413971130785,0.958930081990337,0.580359039640875,0.499465482230216
"BIO11",0.903010891626573,0.565781630491389,1,0.743594178794362,0.627069943327299,0.663927759832481,0.629923350383985,0.581446724875232,0.637460817502758,-0.707212799497383,0.42325256573221,0.985898987642073,-0.789341330880891,0.525550891176421,0.94368455133069,0.680055298008291
"BIO12",0.660495481602509,0.40865631540384,0.743594178794362,1,0.927406910431122,0.956820688951524,0.790991734631917,0.870885124235885,0.795019922725651,-0.53235362649083,0.265566594438471,0.770235763490716,-0.659983867428087,0.349501433579908,0.674851413253105,0.886006441837633
"BIO13",0.572326929083769,0.380420319279875,0.627069943327299,0.927406910431122,1,0.973287243918193,0.620868994747573,0.91125088535041,0.641367794555372,-0.418786524707959,0.237245586084592,0.647992809332199,-0.546040390143778,0.341495298373147,0.570243124226974,0.863221940624026
"BIO16",0.58319773575058,0.352113560455321,0.663927759832481,0.956820688951524,0.973287243918193,1,0.618182522921209,0.945995350100143,0.633294789077268,-0.486913185005926,0.204379335138795,0.683910138090276,-0.606919896538621,0.324312644532167,0.591400245780568,0.875607273012012
"BIO17",0.603978180801914,0.441154770482299,0.629923350383985,0.790991734631917,0.620868994747573,0.618182522921209,1,0.469682740498543,0.963168683717317,-0.366841541341409,0.35134356052152,0.659625154578232,-0.482770135298604,0.322265613917763,0.616694597735873,0.657884790025215
"BIO18",0.500832033887994,0.287028529474295,0.581446724875232,0.870885124235885,0.91125088535041,0.945995350100143,0.469682740498543,1,0.461654809188433,-0.444369918596187,0.139992989617843,0.596526218255479,-0.554834618776136,0.310799557841944,0.475547760017575,0.845699677507664
"BIO19",0.601659911614645,0.432256570238104,0.637460817502758,0.795019922725651,0.641367794555372,0.633294789077268,0.963168683717317,0.461654809188433,1,-0.381977857412988,0.341233052571975,0.664551478715237,-0.494847474887595,0.305139048168522,0.655098821275795,0.647613629344931
"BIO4",-0.338962782727024,0.181668370745852,-0.707212799497383,-0.53235362649083,-0.418786524707959,-0.486913185005926,-0.366841541341409,-0.444369918596187,-0.381977857412988,1,0.31678113569799,-0.702083342379781,0.973371553675693,0.194716085303617,-0.628386054536793,-0.38125196473687
"BIO5",0.756109979573859,0.96033394523515,0.42325256573221,0.265566594438471,0.237245586084592,0.204379335138795,0.35134356052152,0.139992989617843,0.341233052571975,0.31678113569799,1,0.430705203246289,0.19742090898646,0.919460689244953,0.459917503163775,0.354045552800177
"BIO6",0.887924547326998,0.553874687356279,0.985898987642073,0.770235763490716,0.647992809332199,0.683910138090276,0.659625154578232,0.596526218255479,0.664551478715237,-0.702083342379781,0.430705203246289,1,-0.799700339284738,0.505918339359162,0.929706020208499,0.702782310686483
"BIO7",-0.461478770489098,0.0372413971130785,-0.789341330880891,-0.659983867428087,-0.546040390143778,-0.606919896538621,-0.482770135298604,-0.554834618776136,-0.494847474887595,0.973371553675693,0.19742090898646,-0.799700339284738,1,0.0621415821911794,-0.703910579139346,-0.527851385429329
"BIO8",0.817300600152112,0.958930081990337,0.525550891176421,0.349501433579908,0.341495298373147,0.324312644532167,0.322265613917763,0.310799557841944,0.305139048168522,0.194716085303617,0.919460689244953,0.505918339359162,0.0621415821911794,1,0.522121525011441,0.473926902802938
"BIO9",0.87523923297503,0.580359039640875,0.94368455133069,0.674851413253105,0.570243124226974,0.591400245780568,0.616694597735873,0.475547760017575,0.655098821275795,-0.628386054536793,0.459917503163775,0.929706020208499,-0.703910579139346,0.522121525011441,1,0.598017998715419
"npp",0.669034345047597,0.499465482230216,0.680055298008291,0.886006441837633,0.863221940624026,0.875607273012012,0.657884790025215,0.845699677507664,0.647613629344931,-0.38125196473687,0.354045552800177,0.702782310686483,-0.527851385429329,0.473926902802938,0.598017998715419,1
