"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha",-7.79663257647109,0.00762697805047806,0.219843540178492,-8.23143654170091,-7.94383652431081,-7.79457663382928,-7.64578242199205,-7.37485231817848,830.849618566383,1.020498017984
"beta1",0.232151851451108,0.00301344064146524,0.335500942847296,-0.418840374376465,0.00555355123123699,0.232785711481205,0.455954054019305,0.893472806737697,12395.4474239598,0.999966494498127
"beta2",-0.0931383831831034,0.00133987751585097,0.115014010109474,-0.318674749547146,-0.170673791468863,-0.0930887413672792,-0.0156499768907526,0.131342340498217,7368.36775063428,0.999937958698236
"beta3",-0.906268178893378,0.00603184452432456,0.26690986632945,-1.43518997105642,-1.08507766051907,-0.904709542016874,-0.726276006328104,-0.388036347570293,1958.07344730274,1.00464725456618
"beta4",0.0382971771046496,0.00149452238650404,0.0889830743831224,-0.135532044694417,-0.0215337623736448,0.0384817845944218,0.0978856219049791,0.214055148398397,3544.94877372479,1.00016078055422
"beta5",-0.629432755977356,0.00825907776845693,0.438587141578722,-1.49277400093198,-0.925154108738494,-0.630529803925843,-0.332139639490602,0.226724578592091,2819.99721175644,1.00303716458631
"beta6",-0.0435857328328324,0.0031625931055783,0.16619002179634,-0.368982015537442,-0.155601854411603,-0.0446275255654428,0.069457130625738,0.282507182543371,2761.36140104609,1.00062115025199
"beta7",0.519543625917651,0.0043984650478207,0.511924564987006,-0.480901589619973,0.179815842074402,0.523670611428944,0.859447399678463,1.51394598987906,13545.955650325,1.00024351912908
"beta8",-0.944470566936861,0.00214435615467244,0.157400882845162,-1.25288925545213,-1.05170467329351,-0.94478896484718,-0.838023029330939,-0.635114092854852,5387.91195863327,1.0022701969554
"beta9",1.90499261720275,0.0038882525849891,0.179997870418947,1.55117332599019,1.78325865325749,1.90559384496254,2.02735867469272,2.25574644057246,2143.01788261486,1.00122865837013
"beta10",-0.538466008700133,0.0013586814058378,0.0739235242777189,-0.682426750756966,-0.588799202207742,-0.538615679055477,-0.488521713233775,-0.39446437770644,2960.26140653822,1.00169577426263
"sigma",1.50628806166246,0.00018293632197828,0.0282135217029797,1.45182223820857,1.48703454217242,1.50585206701464,1.52498282247022,1.56279502140638,23785.6329573123,1.00069222708722
"phi[1]",-0.289297739141842,0.00914056817723363,0.551718887949002,-1.37680094307167,-0.660853615923134,-0.29166965305997,0.0827895338019881,0.791985982056714,3643.25290400474,1.00356240181302
"phi[2]",-0.235812983394075,0.00932506177443215,0.52209280405068,-1.24958650676328,-0.58933323012686,-0.237779843074187,0.11640342664201,0.792845393275991,3134.67109915442,1.00388759678806
"phi[3]",-0.260331197052747,0.00854466497490386,0.548251565424669,-1.3364519971444,-0.629535386884309,-0.261199557195597,0.114329797996486,0.808850159619381,4116.89397273783,1.00322555768065
"phi[4]",-0.164730878394973,0.00931187089238034,0.529946895832481,-1.20765659699795,-0.521373193132613,-0.164710404646216,0.195864556832442,0.868409585517706,3238.84983796645,1.00416616228551
"phi[5]",-0.174845448533056,0.00879841435060703,0.49626044786931,-1.15306542101087,-0.512076303976728,-0.16971280032015,0.159498416393817,0.79474320907654,3181.34306853647,1.00389543655316
"phi[6]",-0.322406855018256,0.00865982237944746,0.525023337534272,-1.34901720574941,-0.677405744433656,-0.322442061200122,0.0372978950196824,0.707497512914764,3675.69314330214,1.00258503275826
"phi[7]",-0.302850633834977,0.00903996759378225,0.553792231783957,-1.37635806511501,-0.68162520847222,-0.30474639139056,0.0762677443405715,0.791753679984412,3752.83933238526,1.00382188765565
"phi[8]",-0.269807618141103,0.00789910749710335,0.547880550685614,-1.33720305046589,-0.638945467350014,-0.269676387589055,0.102103365859735,0.809865031342608,4810.78246205018,1.00264797327261
"phi[9]",-0.392383187613319,0.00897975914463639,0.519909226324312,-1.41178337287655,-0.741423721841315,-0.398527299274838,-0.0428948513079482,0.624020799408882,3352.16720280768,1.00339601732125
"phi[10]",0.353799287927425,0.00507939158074994,0.584352305723452,-0.786688445823605,-0.0391541455765934,0.356873906032554,0.74322230342267,1.49788398919007,13235.0667041401,1.00026469597615
"phi[11]",0.303715005597737,0.00492501174487507,0.53588747427302,-0.742148426179378,-0.0585246234291535,0.303222022996444,0.664880066684096,1.35858542114653,11839.4811680505,1.0002083706181
"phi[12]",0.402590099566201,0.00487586370206299,0.47648505589482,-0.528742723756377,0.0800441326970156,0.404231763216451,0.723079560153399,1.33296065402452,9549.82590926151,1.00032225311434
"phi[13]",0.235850326546971,0.00514640545925946,0.478286066507272,-0.700578691119952,-0.0858070151761075,0.237192513876495,0.556839121322728,1.17348138065262,8637.09029914351,1.00054043164576
"phi[14]",0.186654623992337,0.00516947919379258,0.449428202982479,-0.699721499744068,-0.112894302122106,0.185514972903608,0.488650882402254,1.07231788207923,7558.35108574871,1.00060316801583
"phi[15]",0.490352228212065,0.00474269094509807,0.496133530748575,-0.48019245528057,0.153765330545137,0.487830486125427,0.828941521903025,1.45965973015255,10943.2799352757,1.00025280466358
"phi[16]",0.495577958203562,0.00501814348040657,0.505226364360062,-0.489354552148589,0.150110147457135,0.495309136113776,0.840965603403821,1.48570578848051,10136.4495095097,1.00001610450303
"phi[17]",0.554418100432544,0.00498376715266044,0.498619052046724,-0.424531412000524,0.218264056829586,0.554720775150372,0.890303419800756,1.53084618466967,10009.7274086711,1.00006358664163
"phi[18]",0.149605698688466,0.00682765053255121,0.510064075389031,-0.848295212368831,-0.195795096132579,0.147194750497648,0.493765560353036,1.15234234149522,5580.9342378138,1.00128963733588
"phi[19]",0.0876134120635226,0.00666046036087136,0.587334073518453,-1.07716703415314,-0.308553481370741,0.0897373968950485,0.487805724323524,1.22524989363418,7776.10108223109,1.00079650538662
"phi[20]",0.0244059146355472,0.00722124729212048,0.477250047115171,-0.921875462574223,-0.296764124930069,0.0258802898424398,0.345237300913496,0.956971884774332,4367.84807914715,1.00176128344409
"phi[21]",-0.138605115818385,0.00788917048024893,0.510009788908469,-1.14331361723432,-0.481518183618025,-0.13519391864162,0.206712790471983,0.864146195747737,4179.21141678607,1.00218097602435
"phi[22]",-0.150739446495323,0.00809149865056256,0.475750726211469,-1.07930288793907,-0.471220016819731,-0.150964741151529,0.169032490149679,0.777775168490637,3457.01280107188,1.00224174514936
"phi[23]",-0.293741217181974,0.00963290818553815,0.462802815886167,-1.19705138861791,-0.606760463391108,-0.293372726682525,0.0206374870850716,0.606274327774072,2308.21970184724,1.00618347741982
"phi[24]",-0.377976120845764,0.00923472131735145,0.525670436349944,-1.41253597940597,-0.732942316404765,-0.374070757018892,-0.0244661675589543,0.653489328411088,3240.2574522828,1.00447893498086
"phi[25]",-0.240656883929055,0.00950482624452669,0.525580470346832,-1.2712202642967,-0.593663052891923,-0.242835736736842,0.113285125997381,0.794809330662089,3057.6662131546,1.00437595614762
"phi[26]",-0.369272653265422,0.009577095123355,0.527097351022267,-1.40893143600199,-0.722694479566919,-0.365416505312462,-0.0172935381041605,0.665369655631124,3029.10316825981,1.00547404749753
"phi[27]",0.226623130868384,0.00592964921808268,0.503994090415751,-0.760321751969071,-0.114544712433751,0.228398328501391,0.565105285678328,1.21668047808903,7224.25194296789,1.00064966369059
"phi[28]",0.41524277630308,0.00531118984245086,0.499567988527561,-0.565891212715596,0.0790546623148761,0.416226718184659,0.751957504096859,1.39370775193456,8847.19405769212,1.00045394608668
"phi[29]",0.367814896444195,0.00519995425713605,0.47641788829918,-0.563246023139874,0.0462363235851423,0.368149969299389,0.686280655847242,1.30096539025424,8394.15671563166,1.00050726549969
"phi[30]",0.259451941271036,0.00536713181314218,0.467365080902231,-0.660145179085897,-0.0550719101435994,0.257524579936797,0.574259597543905,1.17624379826505,7582.77202664181,1.00029630420699
"phi[31]",0.239971134027477,0.00610571716988325,0.482455647693649,-0.710811021352871,-0.0841901404608454,0.240161748827536,0.565040593389901,1.18206021447769,6243.69131239032,1.00056414038081
"phi[32]",0.144863961016571,0.00659591331308,0.512988591107621,-0.856774563240909,-0.202161163351892,0.14425591403645,0.493268624058855,1.14748867899812,6048.74859728651,1.00113800418881
"phi[33]",0.438916007744067,0.00619029537481068,0.512636583676423,-0.565929707193696,0.0938352965337464,0.439045173018766,0.779564458523452,1.44274988327341,6857.98367946605,1.00053014790804
"phi[34]",0.398989599607546,0.00529918530707558,0.501275044999682,-0.577201525482866,0.0580809733779216,0.399148355877714,0.734383350833933,1.38969122519606,8948.16443099148,1.00015369579124
"phi[35]",0.45676402298418,0.00522538015401769,0.501312450297788,-0.523225709367288,0.116741505474236,0.454834287098632,0.792360067058672,1.44304820797623,9204.09723987741,0.999983509120903
"phi[36]",0.363881881447974,0.00479049602014627,0.53514082987505,-0.67609213982397,0.000969984711930909,0.36373766503406,0.719402073743619,1.42107779213765,12478.8684991261,1.00020297654491
"phi[37]",0.334727529312237,0.0049030960906472,0.454117430177608,-0.552056154248478,0.0263298939259942,0.335203949174509,0.641452830528829,1.21984113349766,8578.18748318872,1.00006335438762
"phi[38]",0.44661447901322,0.00467662019272139,0.50016354942918,-0.534579216535035,0.109141427769559,0.446225975146289,0.786158727864532,1.42629327013559,11438.2576683063,1.00022100906998
"phi[39]",0.382940164941828,0.00528777522648111,0.500028671053316,-0.599669112474047,0.0441608406381354,0.38192677527209,0.720874716481856,1.36377519778146,8942.18894968563,1.00023635498394
"phi[40]",0.463300029636342,0.00565823783519856,0.482808469209904,-0.483097357017274,0.139587192060767,0.463081590258886,0.786730264997442,1.4118588350918,7280.93849808227,1.0007210046332
"phi[41]",0.393597116901669,0.00606925147366805,0.488788229082192,-0.566810784647858,0.0629421538484892,0.393847143874843,0.723616114555761,1.35128369601954,6485.91439984265,1.00095020453053
"phi[42]",0.187972061368182,0.00686757787103733,0.462467635271133,-0.718559881070509,-0.12385950734442,0.186299080601847,0.500034454691056,1.09561824551946,4534.77250695882,1.00156467409017
"phi[43]",0.462098200384028,0.00602290124267225,0.642016694181133,-0.798529602349757,0.0295980776272288,0.46239218467928,0.893881041146814,1.72909646724939,11362.6899889483,1.00056129052225
"phi[44]",0.31812160537037,0.00521188230448303,0.722744500885587,-1.10120624590123,-0.172160250792681,0.316386322914281,0.805459872344438,1.73889496195126,19230.0490600986,1.00025583140693
"phi[45]",0.383452517544326,0.00460141538912337,0.479916762393975,-0.551737364629743,0.0592227030789288,0.38066941481638,0.707384185508751,1.32879623814705,10877.9975576468,1.00022010970772
"phi[46]",0.519075223945557,0.0048723098761867,0.528620742050266,-0.513814169406902,0.160843067197756,0.520346532729512,0.879897428032127,1.55234745000101,11771.1419571898,1.00016814064428
"phi[47]",0.479243525125692,0.00524564292829829,0.473936477836277,-0.450826327396313,0.160208874340607,0.477246260797134,0.798995479943086,1.40165217945641,8162.86894203017,1.00043796081295
"phi[48]",-0.387848400363356,0.0101191123488443,0.557798107421194,-1.47481645512783,-0.765832341903059,-0.387425528969854,-0.00839670975420539,0.69681194369057,3038.56994110718,1.0056333995551
"phi[49]",-0.0291251215777362,0.0112221045104394,0.52921576702716,-1.06054691881614,-0.386131791255761,-0.0285475519179897,0.327756622136699,1.00015040802041,2223.90858618472,1.0062603218344
"phi[50]",-0.214887154957745,0.0100348295141015,0.491804223634631,-1.18458716038903,-0.550673805978488,-0.21499395786782,0.119265949664226,0.746784604298155,2401.95303445821,1.00572560625678
"phi[51]",-0.291712377999702,0.0101631618438983,0.602730894858396,-1.4756110954653,-0.697271917599495,-0.289577449693712,0.109724455602128,0.891252033114024,3517.13649637272,1.00435614844102
"phi[52]",-0.310092997229591,0.0109235205928791,0.497224207621516,-1.29298741293763,-0.641165239064972,-0.310274943628316,0.0263787723800725,0.664380838831177,2071.94997292686,1.00724939154793
"phi[53]",-0.414344936230772,0.00974406698375974,0.563619920784942,-1.51379749534704,-0.794750980076352,-0.412400320768298,-0.032307098155421,0.687870278990991,3345.73968417623,1.00516037334903
"phi[54]",0.193070405982089,0.00564042334843026,0.496507684288401,-0.78733180268019,-0.139910222770513,0.192934601559132,0.527969783318265,1.15689535378538,7748.69461680104,1.00086534732878
"phi[55]",-0.247296860599212,0.00690130365949625,0.543256558006783,-1.3035639945756,-0.616576561848585,-0.250976706348913,0.118004294841696,0.824470583975587,6196.51751378691,1.00194639397043
"phi[56]",-0.0243071423364528,0.00621665865872245,0.459538474141911,-0.916931716074141,-0.335524080714481,-0.0247196966335008,0.284673895764574,0.883344061081635,5464.23931571834,1.00190549161089
"phi[57]",0.0257273468573815,0.00576491301006053,0.496916878036967,-0.952500026410929,-0.31081383240659,0.0251942238734771,0.361641262362708,1.00519044628041,7429.88307586135,1.00180731125805
